Code,Name,Date,Price,Share,Amount,Warran,Underwriter,Sector,Subsector,Field,Website,Prospectus,Summary_Prospectus,Alamat,Image,1 candle gain,2 candle gain,3 candle gain,4 candle gain,5 candle gain,6 candle gain,7 candle gain,1 candle high,2 candle high,3 candle high,4 candle high,5 candle high,6 candle high,7 candle high,Papan Pencatatan
MHKI,PT Multi Hanna Kreasindo Tbk,2024-04-16,Rp160,20%,"7,500,000 lot",0,XA - NH KORINDO SEKURITAS INDONESIA,Perindustrian,Jasa Perindustrian,Pengelolaan (treatment) Limbah Bahan Berbahaya dan Beracun (B3) dan Non B3 serta Perdagangan Besar,https://www.multihanna.co.id/,https://storage.googleapis.com/assets.trading.stockbit.com/company/MHKI/prospectus/9uc2zipj3z.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/MHKI/summary-prospectus/6t9spvwjk4.pdf,"Jl. Raya Narogong Km 12, Pangkalan II No. 23, Cikiwul Kec. Bantar Gebang, Kota Bekasi, Jawa Barat 17152 Telepon: +62 21 8250196 Fax: +62 21 82601939",https://storage.googleapis.com/assets.trading.stockbit.com/company/MHKI/logo/m26c5k9d20.png,35.0,68.75,110.0,155.0,91.25,110.0,138.75,35.0,68.75,110.0,161.25,211.25,111.25,141.25,Pengembangan
ATLA,PT Atlantis Subsea Indonesia Tbk,2024-04-16,Rp100,19.36%,"12,000,000 lot",20 : 29,SH - ARTHA SEKURITAS INDONESIA,Energi,"Minyak, Gas, & Batu Bara",Bergerak dalam Bidang Survei dan Layanan untuk Perusahaan Energi,https://www.atlantissubsea.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/ATLA/prospectus/objmzfbzgt.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/ATLA/summary-prospectus/jg7xlpe30e.pdf,"Jl.Tebet Barat Dalam Raya No.6, Jakarta Selatan 12810, Indonesia",https://storage.googleapis.com/assets.trading.stockbit.com/company/ATLA/logo/mnofarmqib.png,35.0,82.0,144.0,112.0,164.0,98.0,122.0,35.0,82.0,144.0,188.0,164.0,194.0,130.0,Pengembangan
AREA,PT Dunia Virtual Online Tbk,2024-04-01,Rp131,20.08%,"5,100,000 lot",0,GR - PANIN SEKURITAS TBK.,Teknologi,Perangkat Lunak & Jasa TI,Jasa penyewaan colocation dan aktivitas terkait lainnya,https://www.area31.id,https://storage.googleapis.com/assets.trading.stockbit.com/company/AREA/prospectus/k91nipibe8.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/AREA/summary-prospectus/g43aerp6m0.pdf,"Jl. Raya Tapos No.31 Cimpaeun, Kec. Tapos, Kota Depok Jawa Barat 16459",https://storage.googleapis.com/assets.trading.stockbit.com/company/AREA/logo/5s0d84ve0y.png,6.106870229007633,-17.557251908396946,-23.66412213740458,-11.450381679389311,-13.740458015267176,-15.267175572519085,-15.267175572519085,30.53435114503817,12.213740458015266,-13.740458015267176,-10.687022900763358,-4.580152671755725,-11.450381679389311,-13.740458015267176,Pengembangan
VISI,PT Satu Visi Putra Tbk,2024-02-27,Rp120,20%,"6,150,000 lot",0,SF - SURYA FAJAR SEKURITAS,Perindustrian,Barang Perindustrian,"Perdagangan Besar untuk Bahan Advertising dan Printing seperti Banner, Display, Tinta dan PVC Board",https://satuvisiputra.com/id/,https://storage.googleapis.com/assets.trading.stockbit.com/company/VISI/prospectus/0aoygktsix.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/VISI/summary-prospectus/ga83h5tij0.pdf,"Jl. Greges Jaya II Blok B19 Kec. Asemrowo, Kel. Tambak Sarioso Kota Surabaya, Jawa Timur 60184",https://storage.googleapis.com/assets.trading.stockbit.com/company/VISI/logo/lnga8pgyi8.png,27.500000000000004,4.166666666666666,-6.666666666666667,10.0,2.5,0.8333333333333334,4.166666666666666,35.0,44.16666666666666,13.333333333333334,10.833333333333334,14.166666666666666,8.333333333333332,5.833333333333333,Pengembangan
LIVE,PT Homeco Victoria Makmur Tbk,2024-02-12,Rp148,17.6%,"8,083,500 lot",0,IF - SAMUEL SEKURITAS INDONESIA,Barang Konsumen Non-Primer,Barang Rumah Tangga,Perdagangan Besar Peralatan dan Perlengkapan Rumah Tangga,http://www.homeco.co.id,https://storage.googleapis.com/assets.trading.stockbit.com/company/LIVE/prospectus/h1g3iphjxu.01,https://storage.googleapis.com/assets.trading.stockbit.com/company/LIVE/summary-prospectus/rasqsxfq9g.pdf,"Jl. Kebon Jeruk Raya No. 1A-C, Kel. Kebon Jeruk Kec. Kebon Jeruk, Kota Adm. Jakarta Barat Provinsi DKI Jakarta, 11530, Indonesia",https://storage.googleapis.com/assets.trading.stockbit.com/company/LIVE/logo/g7tdngd42e.png,17.56756756756757,10.81081081081081,8.783783783783784,16.216216216216218,18.24324324324324,16.89189189189189,14.864864864864863,34.45945945945946,22.2972972972973,16.89189189189189,17.56756756756757,26.351351351351347,22.2972972972973,20.945945945945947,Pengembangan
BAIK,PT Bersama Mencapai Puncak Tbk,2024-02-15,Rp278,20%,"2,250,000 lot",1 : 1,EP - MNC SEKURITAS,Barang Konsumen Non-Primer,Jasa Konsumen,"Mengelola rumah makan, kemitraan rumah makan, serta perdagangan bahan baku",https://ptbersamamencapaipuncak.com/,https://storage.googleapis.com/assets.trading.stockbit.com/company/BAIK/prospectus/sg2x80kfwa.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/BAIK/summary-prospectus/hz16x4cw5m.pdf,"Jl. Raya Regency Kav. 9 No. 5, Kabupaten Malang, Jawa Timur, 65153.",https://storage.googleapis.com/assets.trading.stockbit.com/company/BAIK/logo/9dmewap2rn.png,-24.46043165467626,-43.16546762589928,-47.482014388489205,-52.51798561151079,-55.75539568345324,-61.51079136690647,-63.66906474820144,24.46043165467626,-31.654676258992804,-42.44604316546763,-44.24460431654676,-50.0,-52.15827338129496,-59.35251798561151,Pengembangan
HYGN,PT Ecocare Indo Pasifik Tbk,2024-02-13,Rp145,20.79%,"5,250,000 lot",0,HD - KGI SEKURITAS INDONESIA,Perindustrian,Jasa Perindustrian,Jasa Pengelolaan dan Penyewaan alat-alat Higienitas dan Sanitasi Ruangan beserta produk pendukungnya,https://www.ecocare.id/,https://storage.googleapis.com/assets.trading.stockbit.com/company/HYGN/prospectus/d8r9uh21mj.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/HYGN/summary-prospectus/boe0yfwakj.pdf,"Gedung Infinia Park, Jl. Dr. Saharjo No. 45 Blok A No. 55, Manggarai, Tebet, Jakarta Selatan 12850",https://storage.googleapis.com/assets.trading.stockbit.com/company/HYGN/logo/6h4hj93xry.png,13.79310344827586,-2.7586206896551726,7.586206896551724,17.24137931034483,20.0,20.0,22.75862068965517,34.48275862068966,15.862068965517242,7.586206896551724,22.75862068965517,24.82758620689655,25.517241379310345,42.06896551724138,Pengembangan
MKAP,PT Multikarya Asia Pasifik Raya Tbk,2024-02-12,Rp115,20%,"6,500,000 lot",0,YJ - LOTUS ANDALAN SEKURITAS,Energi,"Minyak, Gas, & Batu Bara","Manufaktur, Jasa Perdagangan, Penyewaan, Perbaikan, Suku Cadang Pompa Industri Migas & Pertambangan",https://www.mkapr.co.id/,https://storage.googleapis.com/assets.trading.stockbit.com/company/MKAP/prospectus/rrxbje4jrf.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/MKAP/summary-prospectus/th23vka36m.pdf,"Cibis Nine lt 16, JL TB Simatupang No 02, Jakarta Selatan, 12560, Indonesia",https://storage.googleapis.com/assets.trading.stockbit.com/company/MKAP/logo/6jyz188f18.png,34.78260869565217,80.8695652173913,112.17391304347824,113.91304347826087,117.3913043478261,122.60869565217392,110.43478260869566,34.78260869565217,80.8695652173913,115.65217391304348,131.30434782608694,131.30434782608694,129.56521739130434,136.52173913043478,Pengembangan
MEJA,PT Harta Djaya Karya Tbk.,2024-02-12,Rp103,25.03%,"4,800,000 lot",1 : 1,EP - MNC SEKURITAS,Barang Konsumen Non-Primer,Barang Rumah Tangga,"Konsultansi Desain, Pelaksana Konstruksi Interior, Pabrikasi Furnitur",https://interra.co.id/,https://storage.googleapis.com/assets.trading.stockbit.com/company/MEJA/prospectus/ntiewp2z6o.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/MEJA/summary-prospectus/jsafwwcjge.pdf,"Jl. Bintaro Raya No.8A, Kby. Lama Selatan, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta. Kode Pos: 12240",https://storage.googleapis.com/assets.trading.stockbit.com/company/MEJA/logo/hv4l1cpbhh.png,9.70873786407767,1.9417475728155336,0.0,-1.9417475728155336,4.854368932038835,2.912621359223301,0.0,9.70873786407767,19.41747572815534,4.854368932038835,2.912621359223301,5.825242718446602,6.796116504854369,4.854368932038835,Akselerasi
ALII,PT Ancara Logistics Indonesia Tbk,2024-02-07,Rp272,20%,"31,651,600 lot",0,KI - CIPTADANA SEKURITAS ASIA,Energi,"Minyak, Gas, & Batu Bara","Jasa Pengangkutan Laut dan Transshipment, serta Intermediate Stockpile melalui Perusahaan Anak",https://www.ancaralogistics.co.id,https://storage.googleapis.com/assets.trading.stockbit.com/company/ALII/prospectus/heifdjnni2.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/ALII/summary-prospectus/t04egngsmf.pdf,"Bakrie Tower Lantai 15, Komplek Rasuna Epicentrum, Jalan H.R. Rasuna Said, Kelurahan Karet Kuningan, Kecamatan Setiabudi, Kota Administrasi Jakarta Selatan, 12940",https://storage.googleapis.com/assets.trading.stockbit.com/company/ALII/logo/yeusg6xm95.png,25.0,47.05882352941176,50.0,44.85294117647059,51.47058823529412,85.66176470588235,131.61764705882354,25.0,55.88235294117647,61.76470588235294,56.61764705882353,52.20588235294118,87.5,131.61764705882354,Utama
MPIX,PT Mitra Pedagang Indonesia Tbk,2024-02-07,Rp268,20%,"3,125,000 lot",2 : 1,DR - RHB SEKURITAS INDONESIA,Teknologi,Perangkat Lunak & Jasa TI,"Penyedia Platform Digital untuk UMKM, dan E-Commerce.",https://www.mpstore.co.id,https://storage.googleapis.com/assets.trading.stockbit.com/company/MPIX/prospectus/wzwwait1vd.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/MPIX/summary-prospectus/l2dxr895bd.pdf,"Ruko Khayangan Residence Blok RA-11, Lantai 2, Jalan Halim Perdana Kusuma, Bangkalan 69119, Jawa Timur",https://storage.googleapis.com/assets.trading.stockbit.com/company/MPIX/logo/rljtr00azn.png,24.62686567164179,-5.970149253731343,-29.47761194029851,-49.62686567164179,-47.01492537313433,-49.25373134328358,-49.62686567164179,24.62686567164179,55.223880597014926,14.17910447761194,-36.56716417910448,-44.40298507462687,-42.91044776119403,-47.01492537313433,Pengembangan
TOSK,PT Topindo Solusi Komunika Tbk,2024-02-07,Rp125,20%,"8,750,000 lot",10 : 3,EP - MNC SEKURITAS,Teknologi,Perangkat Lunak & Jasa TI,Platform Teknologi untuk Tujuan Komersil,https://topindoku.co.id/,https://storage.googleapis.com/assets.trading.stockbit.com/company/TOSK/prospectus/17z5iqitaw.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/TOSK/summary-prospectus/28p9puyi8l.pdf,"Jalan P. Diponegoro No. 19, Kel. Pasiran, Kec Singkawang Barat, Kota Singkawang, Prov Kalimantan Barat 79123",https://storage.googleapis.com/assets.trading.stockbit.com/company/TOSK/logo/zk8q0co7or.png,4.0,-9.6,-22.4,-23.200000000000003,-25.6,-31.2,-32.0,34.4,14.4,-6.4,-12.0,-20.8,-24.0,-24.8,Pengembangan
UNTD,PT Terang Dunia Internusa Tbk.,2024-02-07,Rp240,25%,"16,666,667 lot",0,YP - MIRAE ASSET SEKURITAS INDONESIA,Barang Konsumen Non-Primer,Barang Rekreasi,Bergerak di Industri Sepeda dan Industri Sepeda Motor Roda Dua dan Tiga.,https://www.TerangDuniaInternusa.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/UNTD/prospectus/lylpd20puw.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/UNTD/summary-prospectus/e9ju2484jn.pdf,"Jl. Alam Sutera Boulevard No. kav. 12A, Pakulonan, Kec. Serpong utara, Kota Tangerang Selatan, Banten 15325",https://storage.googleapis.com/assets.trading.stockbit.com/company/UNTD/logo/0gghgg0iaq.png,-3.333333333333333,-16.666666666666664,-26.25,-27.08333333333333,-30.0,-15.0,-17.5,16.666666666666664,-3.333333333333333,-12.5,-24.58333333333333,-26.666666666666668,-12.5,-8.333333333333332,Pengembangan
SMGA,PT Sumber Mineral Global Abadi Tbk,2024-01-30,Rp105,20%,"17,500,000 lot",0,MI - VICTORIA SEKURITAS INDONESIA,Barang Baku,Barang Baku,Bergerak dalam bidang Perdagangan Besar Bijih Nikel dan Batubara,https://www.smgagroup.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/SMGA/prospectus/5rh52nsqte.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/SMGA/summary-prospectus/5pj4r94fet.pdf,"Graha BIP Lantai 2, Jl. Gatot Subroto Kav. 23, Jakarta Selatan 12930, Indonesia",https://storage.googleapis.com/assets.trading.stockbit.com/company/SMGA/logo/7jhcm4fw05.png,34.285714285714285,22.857142857142858,10.476190476190476,11.428571428571429,9.523809523809524,9.523809523809524,-0.9523809523809524,34.285714285714285,61.90476190476191,22.857142857142858,23.809523809523807,15.23809523809524,11.428571428571429,9.523809523809524,Pengembangan
GRPH,PT Griptha Putra Persada Tbk,2024-01-18,Rp103,20%,"2,000,000 lot",0,SA - ELIT SUKSES SEKURITAS,Barang Konsumen Non-Primer,Jasa Konsumen,"Bergerak di Bidang Hotel Bintang, Restoran, dan MICE.",https://www.griptha.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/GRPH/prospectus/6j5ubuoy8f.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/GRPH/summary-prospectus/p0rsm48lsf.pdf,"Jl. AKBP R. Agil Kusumadya No. 100, Jati Wetan, Kecamatan Jati, Kabupaten Kudus, Jawa Tengah 59346, Indonesia.",https://storage.googleapis.com/assets.trading.stockbit.com/company/GRPH/logo/a9do82aq1e.png,14.563106796116504,4.854368932038835,-2.912621359223301,-4.854368932038835,-16.50485436893204,-19.41747572815534,-25.24271844660194,30.097087378640776,27.184466019417474,12.62135922330097,3.883495145631068,-3.883495145631068,-6.796116504854369,-16.50485436893204,Pengembangan
MSJA,PT Multi Spunindo Jaya Tbk,2024-01-10,Rp300,15%,"8,823,529 lot",0,OD - BRI DANAREKSA SEKURITAS,Barang Konsumen Primer,Produk Rumah Tangga Tidak Tahan Lama,Industri Nonwoven,https://www.spunindo.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/MSJA/prospectus/ges551gyy4.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/MSJA/summary-prospectus/bqhgzziirs.pdf,"Desa Jabaran, Kecamatan Balongbendo, Krian, Sidoarjo, Jawa Timur, Indonesia 61263",https://storage.googleapis.com/assets.trading.stockbit.com/company/MSJA/logo/im9gzfks82.png,15.333333333333332,42.66666666666667,27.33333333333333,27.33333333333333,25.333333333333336,28.666666666666668,28.666666666666668,24.0,44.0,70.0,27.33333333333333,29.33333333333333,32.666666666666664,34.0,Utama
NICE,PT Adhi Kartiko Pratama Tbk.,2024-01-09,Rp438,20%,"12,164,040 lot",0,AI - UOB KAY HIAN SEKURITAS,Barang Baku,Barang Baku,Bergerak dalam Pertambangan Bijih Nikel,https://www.akp.co.id,https://storage.googleapis.com/assets.trading.stockbit.com/company/NICE/prospectus/b2wft6e483.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/NICE/summary-prospectus/keegvfsl6a.pdf,"Jalan Sorumba Nomor 80, Desa/Kelurahan Anaiwoi, Kec. Kadia, Kota Kendari, Provinsi Sulawesi Tenggara Indonesia - 93118",https://storage.googleapis.com/assets.trading.stockbit.com/company/NICE/logo/s9meff4t4m.png,19.863013698630137,35.84474885844749,68.94977168949772,27.85388127853881,27.85388127853881,58.675799086758,74.65753424657534,24.42922374429224,44.97716894977169,68.94977168949772,104.337899543379,27.85388127853881,59.81735159817352,79.22374429223744,Pengembangan
ACRO,PT Samcro Hyosung Adilestari Tbk,2024-01-11,Rp108,20%,"6,938,280 lot",3 : 1,AI - UOB KAY HIAN SEKURITAS,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Bergerak dalam industri dan perdagangan Hook dan Loop,https://www.samcro.co.id,https://storage.googleapis.com/assets.trading.stockbit.com/company/ACRO/prospectus/n3yz1jm362.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/ACRO/summary-prospectus/6x7bazmjbr.pdf,"Jl. Raya Serang KM 17,2 Desa Bojong Kecamatan Cikupa, Kabupaten Tangerang Banten, 15710",https://storage.googleapis.com/assets.trading.stockbit.com/company/ACRO/logo/9hobd2xaey.png,34.25925925925926,13.88888888888889,13.88888888888889,3.7037037037037033,-0.9259259259259258,14.814814814814811,6.481481481481481,34.25925925925926,76.85185185185185,13.88888888888889,10.185185185185183,4.62962962962963,17.59259259259259,19.444444444444446,Pengembangan
SMLE,PT Sinergi Multi Lestarindo Tbk,2024-01-10,Rp175,20%,"4,656,250 lot",2 : 1,EP - MNC SEKURITAS,Barang Baku,Barang Baku,"Perdagangan Bahan Kimia Khusus untuk Bahan Baku Makanan & Minuman, Perawatan Diri dan Kimia Industri",https://www.ptsml.id,https://storage.googleapis.com/assets.trading.stockbit.com/company/SMLE/prospectus/iof7qr0ash.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/SMLE/summary-prospectus/v4pu3xwuc4.pdf,"Business Park Kebon Jeruk Blok I 5-6, Jl. Raya Meruya Illir, Kav.88, Meruya Utara, Kembangan, Jakarta Barat 11620",https://storage.googleapis.com/assets.trading.stockbit.com/company/SMLE/logo/clfktxoem8.png,34.85714285714286,68.0,26.857142857142858,26.857142857142858,4.571428571428571,5.714285714285714,9.142857142857142,34.85714285714286,68.0,73.71428571428571,26.857142857142858,8.571428571428571,8.0,14.285714285714285,Pengembangan
